© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	7.95E01	3.44E-01	-6.410	ATF3,EIF3F,EIF3H,FAU,HSPA5,PPP1R15A,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL31,RPL35,RPL35A,Rpl36a,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,VEGFA	
Coronavirus Pathogenesis Pathway	2.45E01	1.72E-01	5.916	EEF1A1,FAU,FOS,IL6,JUN,NFKBIA,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Regulation of eIF4 and p70S6K Signaling	2.41E01	1.84E-01	NaN	EIF3F,EIF3H,FAU,ITGB1,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
mTOR Signaling	2.27E01	1.6E-01	NaN	EIF3F,EIF3H,FAU,RHOB,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,VEGFA	
Mitochondrial Dysfunction	2.12E01	1.75E-01	NaN	APP,ATP5F1B,ATP5F1C,ATP5MC2,ATP5MC3,ATP5MF,ATP5MG,ATP5PD,ATP5PF,CAT,COX4I1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,FIS1,GPX4,NDUFA3,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB5,UCP2,UQCR11,UQCRB	
Oxidative Phosphorylation	2.06E01	2.25E-01	-5.000	ATP5F1B,ATP5F1C,ATP5MC2,ATP5MC3,ATP5MF,ATP5MG,ATP5PD,ATP5PF,COX4I1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,NDUFA3,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB5,UQCR11,UQCRB	
Glucocorticoid Receptor Signaling	1.26E01	6.71E-02	NaN	ADRB2,ATP5F1B,ATP5F1C,BAG1,CDKN1A,EGF,FOS,H3-3A/H3-3B,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HP,HSP90AB1,HSP90B1,HSPA5,HSPA8,ICAM1,IL6,IL6ST,JAK2,JUN,KRT18,KRT7,NCOA2,NDUFA3,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB5,NFKBIA,NR3C1,PLA2G1B,TAF1,TAF10,TAF7	
HER-2 Signaling in Breast Cancer	7.2E00	7.93E-02	2.828	AREG,CDKN1A,COX4I1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,EGF,FOS,HBEGF,ITGB1,JUN,NFKBIA,RPS6	
NRF2-mediated Oxidative Stress Response	6.91E00	7.59E-02	0.277	ACTG1,CAT,DNAJB9,DNAJC3,FOS,FOSL1,FTH1,GCLC,HSP90AB1,HSP90B1,JUN,JUNB,JUND,MAF,MAFF,NFE2L2,SQSTM1,TXN	
Antigen Presentation Pathway	6.63E00	2.05E-01	NaN	CD74,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,PDIA3	
