© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	7.72E01	3.66E-01	-6.487	ATF3,EIF3F,EIF3H,EIF3K,EIF3M,EIF4G1,EIF4G2,FAU,HSPA5,PPP1CA,PPP1R15A,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL31,RPL35,RPL35A,Rpl36a,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,VEGFA	
Oxidative Phosphorylation	4.15E01	3.87E-01	-6.557	Atp5e,ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,ATP5MC2,ATP5MC3,ATP5MF,ATP5MG,ATP5PD,ATP5PF,COX4I1,COX5A,COX6A1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,NDUFA1,NDUFA11,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB9,NDUFS3,NDUFV3,UQCR10,UQCR11,UQCRB,UQCRQ	
Mitochondrial Dysfunction	3.86E01	2.81E-01	NaN	APP,Atp5e,ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,ATP5MC2,ATP5MC3,ATP5MF,ATP5MG,ATP5PD,ATP5PF,CAT,COX4I1,COX5A,COX6A1,COX6A2,COX6B1,Cox6c,COX7A2,COX7A2L,COX7B,COX8A,CYB5A,FIS1,GPX4,HSD17B10,NDUFA1,NDUFA11,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB9,NDUFS3,NDUFV3,UQCR10,UQCR11,UQCRB,UQCRQ	
Regulation of eIF4 and p70S6K Signaling	2.57E01	2.12E-01	NaN	EIF3F,EIF3H,EIF3K,EIF3M,EIF4G1,EIF4G2,FAU,ITGA6,ITGB1,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
mTOR Signaling	2.29E01	1.79E-01	NaN	EIF3F,EIF3H,EIF3K,EIF3M,EIF4G1,EIF4G2,FAU,FNBP1,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,VEGFA	
Coronavirus Pathogenesis Pathway	1.96E01	1.67E-01	5.488	EEF1A1,FAU,IL6,JAK1,NFKBIA,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Sirtuin Signaling Pathway	1.46E01	1.16E-01	3.400	ABCA1,ADAM10,APP,ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,ATP5PF,EPAS1,GABARAP,H3-3A/H3-3B,LDHB,MAP1LC3A,NDUFA1,NDUFA11,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB9,NDUFS3,NDUFV3,NFE2L2,SLC25A5,TIMM13,TSPO	
Glucocorticoid Receptor Signaling	1.31E01	7.92E-02	NaN	ADRB2,ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,BAG1,CDKN1A,EGF,H3-3A/H3-3B,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HP,HSP90AB1,HSP90B1,HSPA5,ICAM1,IL6,IL6ST,JAK1,JAK2,NCOA2,NDUFA11,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB9,NDUFS3,NDUFV3,NFKBIA,NR3C1,PLA2G1B,POLR2E,TAF1,TAF10	
Estrogen Receptor Signaling	1.1E01	8.56E-02	0.500	ATP5F1B,ATP5F1C,ATP5F1D,ATP5MC1,CDKN1A,DDX5,EGF,GNAS,GNG5,HSP90AB1,HSP90B1,JAK1,JAK2,MPRIP,MYL6,NCOA2,NDUFA11,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA6,NDUFA7,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB9,NDUFS3,NDUFV3,NR3C1,PDIA3,VEGFA	
NRF2-mediated Oxidative Stress Response	6.46E00	8.44E-02	-0.277	CAT,DNAJB1,DNAJB14,DNAJB9,DNAJC3,FOSL1,FTH1,FTL,GCLC,GSTP1,HSP90AB1,HSP90B1,JUNB,JUND,MAF,MAFF,NFE2L2,PRDX1,SQSTM1,TXN	
