© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Leukocyte Extravasation Signaling	7.68E00	6.74E-02	-1.508	CLDN18,CLDN3,CTNNA1,CTNND1,DLC1,GNAI2,ICAM1,ITGB1,MSN,MYL6,RAP1A,ROCK1,TIMP3	
Antigen Presentation Pathway	7.31E00	1.79E-01	NaN	CD74,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,PDIA3,PSMB8	
Agranulocyte Adhesion and Diapedesis	5.43E00	5.14E-02	NaN	C5,CLDN18,CLDN3,Cxcl15,CXCL2,GNAI2,ICAM1,ITGB1,MSN,MYH9,MYL6	
RHOGDI Signaling	5.41E00	5.12E-02	1.667	CFL2,DLC1,FNBP1,GNAI2,ITGB1,MSN,MYH9,MYL12A,MYL12B,MYL6,ROCK1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5E00	5.15E-02	NaN	COL12A1,COL4A1,COL4A2,COL6A1,ECE1,ICAM1,IFNGR1,MET,MYH9,MYL6	
Epithelial Adherens Junction Signaling	4.92E00	5.73E-02	-1.000	BMPR2,CFL2,CTNNA1,CTNND1,MET,MYL12A,MYL12B,RAP1A,ROCK1	
Actin Cytoskeleton Signaling	4.87E00	4.49E-02	-0.905	CFL2,ITGB1,MPRIP,MSN,MYH9,MYL12A,MYL12B,MYL6,RAP1A,ROCK1,SSH2	
RHOA Signaling	4.8E00	6.45E-02	-1.414	CFL2,DLC1,MPRIP,MSN,MYL12A,MYL12B,MYL6,ROCK1	
Unfolded protein response	4.79E00	7.78E-02	1.000	CEBPD,DNAJB1,DNAJB9,DNAJC3,HSPA1A/HSPA1B,Hspa1b,HSPH1	
Aldosterone Signaling in Epithelial Cells	4.76E00	5.49E-02	NaN	AHCY,DNAJB1,DNAJB9,DNAJC3,HSP90AA1,HSPA1A/HSPA1B,HSPE1,HSPH1,PDIA3	
Granulocyte Adhesion and Diapedesis	4.28E00	4.76E-02	NaN	C5,CLDN18,CLDN3,Cxcl15,CXCL2,GNAI2,ICAM1,ITGB1,MSN	
Regulation of Actin-based Motility by Rho	4.08E00	6.03E-02	-1.134	FNBP1,ITGB1,MPRIP,MYL12A,MYL12B,MYL6,ROCK1	
Sertoli Cell-Sertoli Cell Junction Signaling	4E00	4.37E-02	NaN	CLDN18,CLDN3,CTNNA1,ITGB1,JUP,RAP1A,SPTAN1,SPTBN1,TJP1	
BAG2 Signaling Pathway	3.97E00	7.14E-02	0.447	ANXA2,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,PINK1,PSMB8	
Th1 Pathway	3.94E00	5.74E-02	-1.633	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1,IFNGR1,IRF1	
Cardiac Hypertrophy Signaling	3.92E00	3.85E-02	-2.530	ADRB2,Calm1 (includes others),FNBP1,GNAI2,MYL12A,MYL12B,MYL6,PDIA3,RAP1A,ROCK1	
Germ Cell-Sertoli Cell Junction Signaling	3.81E00	4.68E-02	NaN	CFL2,CTNNA1,CTNND1,FNBP1,ITGB1,JUP,RAP1A,TJP1	
Th1 and Th2 Activation Pathway	3.79E00	4.65E-02	NaN	BMPR2,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,ICAM1,IFNGR1,IRF1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	3.75E00	3.37E-02	-1.508	AREG,BMPR2,COL12A1,COL4A1,COL4A2,COL6A1,ITGB1,PINK1,RAP1A,ROCK1,THBS1	
Thrombin Signaling	3.71E00	4E-02	-2.236	FNBP1,GNAI2,MPRIP,MYL12A,MYL12B,MYL6,PDIA3,RAP1A,ROCK1	
Role of PKR in Interferon Induction and Antiviral Response	3.65E00	5.15E-02	-1.134	DNAJC3,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,IFNGR1,IRF1,NFKBIA	
Semaphorin Signaling in Neurons	3.64E00	8.06E-02	NaN	CFL2,FNBP1,ITGB1,MET,ROCK1	
Protein Kinase A Signaling	3.49E00	2.93E-02	0.000	ADD3,AKAP1,AKAP13,Calm1 (includes others),GNAI2,MYL12A,MYL12B,MYL6,NFKBIA,PDIA3,RAP1A,ROCK1	
Apoptosis Signaling	3.47E00	5.77E-02	-0.816	LMNA,MCL1,NFKBIA,RAP1A,ROCK1,SPTAN1	
Cellular Effects of Sildenafil (Viagra)	3.41E00	4.7E-02	NaN	Calm1 (includes others),MPRIP,MYH9,MYL12A,MYL12B,MYL6,PDIA3	
Hepatic Fibrosis Signaling Pathway	3.38E00	2.85E-02	-2.309	BMPR2,Calm1 (includes others),FNBP1,GNAI2,ICAM1,ITGB1,MYL12A,MYL12B,MYL6,NFKBIA,RAP1A,ROCK1	
Semaphorin Neuronal Repulsive Signaling Pathway	3.37E00	4.64E-02	-1.134	CFL2,ITGB1,MPRIP,MYL12A,MYL12B,MYL6,ROCK1	
Wound Healing Signaling Pathway	3.34E00	3.57E-02	-1.000	BMPR2,COL12A1,COL4A1,COL4A2,COL6A1,IFNGR1,ITGB1,NFKBIA,RAP1A	
B Cell Development	3.2E00	9.09E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1	
PAK Signaling	3.17E00	5.08E-02	-1.342	CFL2,ITGB1,MYL12A,MYL12B,MYL6,RAP1A	
Circadian Rhythm Signaling	3.15E00	3.36E-02	NaN	BHLHE40,CIRBP,CRY2,DBP,GNAI2,PDIA3,PER1,PER3,RAP1A	
Signaling by Rho Family GTPases	3.15E00	3.36E-02	-1.890	CFL2,FNBP1,GNAI2,ITGB1,MSN,MYL12A,MYL12B,MYL6,ROCK1	
Glucocorticoid Receptor Signaling	3.12E00	2.41E-02	NaN	ADRB2,ANXA1,HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,ICAM1,KRT7,KRT8,NFKBIA,RAP1A	
iNOS Signaling	3.09E00	8.51E-02	NaN	Calm1 (includes others),IFNGR1,IRF1,NFKBIA	
CXCR4 Signaling	3.08E00	4.14E-02	-2.646	FNBP1,GNAI2,MYL12A,MYL12B,MYL6,RAP1A,ROCK1	
