© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
NRF2-mediated Oxidative Stress Response	1.23E01	6.33E-02	-1.897	ACTB,ACTG1,CYP2B6,DNAJB1,FOS,FTH1,GCLC,HSPB8,JUN,JUNB,JUND,MAF,MAFF,NFE2L2,RRAS	
Senescence Pathway	7.69E00	4.04E-02	-2.111	ATF3,BHLHE40,CDK2,CEBPB,GADD45G,IL6,JUN,PPP2CA,PPP2CB,PPP2R5A,RRAS,SMAD7	
Antigen Presentation Pathway	7.52E00	1.54E-01	NaN	B2M,CD74,HLA-A,HLA-DMB,PSMB8,PSMB9	
JAK/STAT Signaling	6.87E00	8.54E-02	-1.134	CEBPB,CISH,FOS,IL6,JUN,RRAS,SOCS3	
Tight Junction Signaling	6.7E00	5.06E-02	NaN	ACTB,ACTG1,FOS,JUN,PPP2CA,PPP2CB,PPP2R5A,TJP1,VCL	
ILK Signaling	6.28E00	4.5E-02	-0.333	ACTB,ACTG1,FOS,JUN,PPP2CA,PPP2CB,PPP2R5A,RHOB,VCL	
mTOR Signaling	6.06E00	4.25E-02	1.134	PPP2CA,PPP2CB,PPP2R5A,RHOB,RPS19,RPS2,RPS6,RRAS,TSC2	
Cell Cycle Regulation by BTG Family Proteins	6.05E00	1.35E-01	NaN	BTG2,CDK2,PPP2CA,PPP2CB,PPP2R5A	
IL-17A Signaling in Fibroblasts	5.99E00	1.32E-01	NaN	CEBPB,CEBPD,FOS,IL6,JUN	
IL-6 Signaling	5.55E00	5.47E-02	-1.890	CEBPB,FOS,IL6,JUN,MCL1,RRAS,SOCS3	
Prolactin Signaling	5.44E00	6.98E-02	-1.342	CEBPB,FOS,IRF1,JUN,RRAS,SOCS3	
Pulmonary Fibrosis Idiopathic Signaling Pathway	5.41E00	3.07E-02	-2.828	ACTB,ACTG1,COL12A1,EGR1,FOS,GNA12,HES1,IL6,JUN,RRAS	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.4E00	4.19E-02	0.000	FOS,IRF1,JUN,LYZ,PPP2CA,PPP2CB,PPP2R5A,RHOB	
Ceramide Signaling	5.32E00	6.67E-02	-2.449	FOS,JUN,PPP2CA,PPP2CB,PPP2R5A,RRAS	
Unfolded protein response	5.32E00	6.67E-02	-2.236	CEBPB,CEBPD,DNAJB1,HSPA8,NFE2L2,PPP1R15A	
Protein Ubiquitination Pathway	5.14E00	3.27E-02	NaN	B2M,DNAJB1,HLA-A,HSPA8,HSPB8,PSMB8,PSMB9,Ubb,UBC	
ATM Signaling	5.08E00	6.06E-02	1.342	CDK2,GADD45G,JUN,PPP2CA,PPP2CB,PPP2R5A	
Xenobiotic Metabolism Signaling	4.95E00	3.1E-02	NaN	CYP2B6,GCLC,IL6,MAF,NFE2L2,PPP2CA,PPP2CB,PPP2R5A,RRAS	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.9E00	2.03E-02	-1.941	B2M,FOS,GNA12,H2-T22,HLA-A,HLA-DMB,IL6,JUN,PPP2CA,PPP2CB,PPP2R5A,RHOB,RRAS	
CXCR4 Signaling	4.76E00	4.14E-02	-2.236	EGR1,FOS,GNA12,JUN,MYL12B,RHOB,RRAS	
CDK5 Signaling	4.73E00	5.26E-02	-2.449	EGR1,FOSB,PPP2CA,PPP2CB,PPP2R5A,RRAS	
Germ Cell-Sertoli Cell Junction Signaling	4.72E00	4.09E-02	NaN	ACTB,ACTG1,RHOB,RRAS,TJP1,TUBA1C,VCL	
Th1 and Th2 Activation Pathway	4.71E00	4.07E-02	NaN	HLA-A,HLA-DMB,IL6,IRF1,JUN,MAF,SOCS3	
Glucocorticoid Receptor Signaling	4.64E00	2.07E-02	NaN	ACTB,B2M,DUSP1,FOS,H2-T22,HLA-A,HLA-DMB,HSPA8,IL6,JUN,RRAS,TAF7	
Regulation of eIF4 and p70S6K Signaling	4.6E00	3.91E-02	1.342	PPP2CA,PPP2CB,PPP2R5A,RPS19,RPS2,RPS6,RRAS	
Acute Phase Response Signaling	4.5E00	3.78E-02	-1.633	CEBPB,FOS,IL6,JUN,RRAS,SERPINF1,SOCS3	
Renal Cell Carcinoma Signaling	4.38E00	6.25E-02	NaN	FOS,JUN,RRAS,Ubb,UBC	
BEX2 Signaling Pathway	4.35E00	6.17E-02	1.342	JUN,PPP2CA,PPP2CB,PPP2R5A,TSC2	
IL-12 Signaling and Production in Macrophages	4.3E00	4.41E-02	NaN	CEBPB,FOS,IRF1,JUN,LYZ,MAF	
Coronavirus Pathogenesis Pathway	4.25E00	3.45E-02	-1.890	CDK2,FOS,IL6,JUN,RPS19,RPS2,RPS6	
Sertoli Cell-Sertoli Cell Junction Signaling	4.21E00	3.4E-02	NaN	ACTB,ACTG1,JUN,RRAS,TJP1,TUBA1C,VCL	
IL-8 Signaling	4.16E00	3.33E-02	-2.646	FOS,GNA12,HBEGF,JUN,MYL12B,RHOB,RRAS	
ERK/MAPK Signaling	4.08E00	3.24E-02	1.134	DUSP1,DUSP6,FOS,PPP2CA,PPP2CB,PPP2R5A,RRAS	
EIF2 Signaling	3.98E00	3.12E-02	0.000	ACTB,ATF3,PPP1R15A,RPS19,RPS2,RPS6,RRAS	
Epithelial Adherens Junction Signaling	3.95E00	3.82E-02	0.816	MYL12B,PPP2CA,PPP2CB,PPP2R5A,RRAS,VCL	
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.89E00	3.73E-02	2.000	PPP2CA,PPP2CB,PPP2R5A,PSMB8,PSMB9,ZFP36	
Virus Entry via Endocytic Pathways	3.84E00	4.81E-02	NaN	ACTB,ACTG1,B2M,HLA-A,RRAS	
Neuroinflammation Signaling Pathway	3.83E00	2.52E-02	-2.646	B2M,FOS,GLUL,HLA-A,HLA-DMB,IL6,JUN,NFE2L2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.79E00	7.02E-02	-2.000	CDK2,PPP2CA,PPP2CB,PPP2R5A	
WNT/β-catenin Signaling	3.72E00	3.47E-02	1.000	JUN,PPP2CA,PPP2CB,PPP2R5A,Ubb,UBC	
Wound Healing Signaling Pathway	3.67E00	2.78E-02	-1.890	CEBPB,COL12A1,FOS,HBEGF,IL6,JUN,RRAS	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.64E00	3.35E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.64E00	3.35E-02	NaN	DUSP1,DUSP6,PPP2CA,PPP2CB,PPP2R5A,SOCS3	
Cholecystokinin/Gastrin-mediated Signaling	3.56E00	4.2E-02	-2.236	FOS,GNA12,JUN,RHOB,RRAS	
MSP-RON Signaling In Macrophages Pathway	3.56E00	4.2E-02	-1.342	FOS,HLA-DMB,JUN,RRAS,SOCS3	
IL-17 Signaling	3.54E00	3.21E-02	-2.449	CEBPB,FOS,IL6,JUN,RGS16,RRAS	
Mitotic Roles of Polo-Like Kinase	3.54E00	6.06E-02	NaN	PLK2,PPP2CA,PPP2CB,PPP2R5A	
Th1 Pathway	3.51E00	4.1E-02	-0.447	HLA-A,HLA-DMB,IL6,IRF1,SOCS3	
Signaling by Rho Family GTPases	3.5E00	2.61E-02	-2.449	ACTB,ACTG1,FOS,GNA12,JUN,MYL12B,RHOB	
Remodeling of Epithelial Adherens Junctions	3.49E00	5.88E-02	NaN	ACTB,ACTG1,TUBA1C,VCL	
